word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0034248000010848045,0.013300300110131502,10.005010700086132,,,,,,,,,,,,,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
I,1,a,0,0,0,0,0,0,0,10.023691999958828,,,,,10.01231319992803,10.023691999958828,12.00616310001351,12.011507699964568,12.021038000006229,16.003890000050887,16.003926299978048,16.0166585999541,52.00794759998098,52.008029399905354,52.060346599901095,60.018184300046414,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
More,2,b,1,1,0,0,1,1,1,60.0348811999429,,,,,60.018396799918264,60.0348811999429,62.016707099974155,62.0241296000313,62.029970600036904,66.01248300005682,66.01252530002967,66.02528630010784,102.01264930004254,102.01268679997884,102.02914860006422,110.00610710005276,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
What,3,c,2,2,0,0,2,2,2,110.02254480007105,,,,,110.00627869996242,110.02254480007105,112.00767789990641,112.01542069995776,112.02489829994738,116.00143439997919,116.00147260003723,116.02082809992135,152.00492629990913,152.00499080005102,152.02133910008706,160.01796060008928,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Who,4,d,3,3,0,0,3,3,3,160.03154899994843,,,,,160.01813050010242,160.03154899994843,162.01330130011775,162.01935410010628,162.0298361000605,166.01012929994613,166.0101685000118,166.0267876998987,202.0165758000221,202.0166104999371,202.03314379998483,210.00728900008835,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02728680009022,,,,,210.00743829994462,210.02728680009022,212.00873690005392,212.01403580000624,212.0220733000897,216.00227200007066,216.00232150009833,216.01920079998672,252.00654070009477,252.0065816999413,252.02284980006516,260.01892699999735,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
You,6,f,5,5,0,0,5,5,5,260.0330270000268,,,,,260.0190946001094,260.0330270000268,262.00206220010296,262.0062722999137,262.0147190000862,265.9990964999888,265.9991347999312,266.0115549999755,301.9988019000739,301.9988424999174,302.0147565000225,310.0084112000186,266.0115549999755,302.0147565000225,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0249880000483,,,,,310.0085903001018,310.0249880000483,312.0068491001148,312.011000999948,312.02358689997345,316.00670729996637,316.006746100029,316.02004370000213,352.0099240001291,352.00996010005474,352.02372850012034,360.0006027999334,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
When,8,h,7,7,0,0,7,7,7,360.01760750007816,,,,,360.00075610005297,360.01760750007816,362.0021867000032,362.0072886000853,362.01574890012853,366.012664699927,366.012727299938,366.02897670003586,402.0160431000404,402.0160749000497,402.03539029997773,410.00971319992095,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
On,9,i,8,8,0,0,8,8,8,410.02636360004544,,,,,410.0099430999253,410.02636360004544,412.00783280003816,412.01286039990373,412.0245952999685,416.00457160011865,416.0046097000595,416.0212820000015,452.00835180003196,452.0083979999181,452.0276828999631,460.0018835000228,,,118346,001,2025-03-17_16h18.47.532,data_collection,2024.2.4,59.135836172544,2025-03-17 16h18.55.103640 +0100,
