word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003710000077262521,0.015268299961462617,10.004378900164738,,,,,,,,,,,,,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
I,1,a,0,0,0,0,0,0,0,10.020751500036567,,,,,10.012781500117853,10.020751500036567,12.002698099939153,12.012052700156346,12.024152300087735,16.01849799999036,16.01853230013512,16.03269310016185,52.00346909998916,52.003503300016746,52.03814409999177,60.01546370005235,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
More,2,b,1,1,0,0,1,1,1,60.029586400138214,,,,,60.01566920010373,60.029586400138214,62.01359610003419,62.019226500066,62.02777669997886,66.01062790001743,66.0106800000649,66.02447970001958,102.01166540011764,102.0117043000646,102.03081530006602,110.00531310006045,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
What,3,c,2,2,0,0,2,2,2,110.02441980014555,,,,,110.00549150002189,110.02441980014555,112.0039166000206,112.01008870010264,112.02364540006965,116.00049820006825,116.00055540003814,116.0169788999483,152.0054017000366,152.00544250011444,152.02279180008918,160.01695630000904,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
Who,4,d,3,3,0,0,3,3,3,160.03095629997551,,,,,160.01712179998867,160.03095629997551,162.0124957000371,162.0201906999573,162.0330143000465,166.0112898000516,166.01133040012792,166.02835300005972,202.01283759996295,202.01287630014122,202.029474100098,210.00896480004303,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02288560010493,,,,,210.0091336001642,210.02288560010493,212.0047077999916,212.00920210010372,212.02133759995922,216.002183200093,216.0022319999989,216.0178207999561,252.00552490004338,252.00556139997207,252.02465360006317,260.01822850015014,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
You,6,f,5,5,0,0,5,5,5,260.032007999951,,,,,260.01840699999593,260.032007999951,262.0138332999777,262.0202611000277,262.0340978000313,266.01413380005397,266.0142088001594,266.02684840001166,302.0139783001505,302.0140142000746,302.03047970007174,310.00751610007137,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0239687000867,,,,,310.00770450010896,310.0239687000867,312.0082865001168,312.01814749999903,312.02350799995475,316.0051738000475,316.0052108000964,316.0193525000941,352.0062860001344,352.00634069996886,352.02547150012106,360.0193030999508,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
When,8,h,7,7,0,0,7,7,7,360.0356163000688,,,,,360.01954380003735,360.0356163000688,362.01490700012073,362.0232388000004,362.0346460000146,366.01199030014686,366.0120576999616,366.03063470008783,402.00089220004156,402.00093029998243,402.017606300069,410.0093755000271,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
On,9,i,8,8,0,0,8,8,8,410.0280240001157,,,,,410.0095848001074,410.0280240001157,412.00747970002703,412.0131405000575,412.0236311000772,416.00730920000933,416.00734410015866,416.0203869000543,452.0078901001252,452.0079278999474,452.02634570002556,460.00107100000605,259522,001,2025-03-13_17h54.04.999,data_collection,2024.2.4,None,2025-03-13 17h54.14.846778 +0100,
