word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,text.stopped,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,wordDisplayText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0034278000239282846,0.01244270009920001,10.016993600176647,10.000504800118506,,,,,,,,,,,,,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
I,1,a,0,0,0,0,0,0,0,10.016993600176647,,,,,,10.006618299987167,10.016993600176647,12.018270600121468,12.026306700194255,12.036226900061592,16.01228790008463,16.012321999995038,16.031231200089678,52.01833720016293,52.01837440021336,52.053814799990505,60.00902980007231,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
More,2,b,1,1,0,0,1,1,1,60.02894170000218,,,,,,60.00917520001531,60.02894170000218,62.00812530005351,62.013856400037184,62.027421600185335,66.0045968000777,66.004641600186,66.0235635000281,102.007936200127,102.00797170004807,102.02434360003099,110.0015387001913,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
What,3,c,2,2,0,0,2,2,2,110.01795910019428,,,,,,110.0017074001953,110.01795910019428,112.0025764000602,112.00856110011227,112.01627240004018,116.01295300014317,116.01300500007346,116.03228010004386,152.01697830017656,152.0170247000642,152.0333323001396,160.01029900019057,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02888210001402,,,,,,160.01048810011707,160.02888210001402,162.01134630013257,162.01921140006743,162.02863630000502,166.00536120007746,166.00539720011875,166.02435520011932,202.0094689000398,202.0095081999898,202.02581070014276,210.00595400016755,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
Help,5,e,4,4,0,0,4,4,4,210.01898570009507,,,,,,210.0061141999904,210.01898570009507,212.00367730017751,212.00922770006582,212.01761239999905,216.00082490011118,216.00086500006728,216.01411860017106,252.00130840018392,252.0013472000137,252.01779379998334,260.01141929998994,216.01411860017106,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
You,6,f,5,5,0,0,5,5,5,260.03038210002705,,,,,,260.01160430000164,260.03038210002705,262.0100660000462,262.0176097000949,262.03075910010375,266.0093412999995,266.0093791000545,266.0257097000722,302.0133066000417,302.0133532001637,302.02674810006283,310.0062855000142,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0200414999854,,,,,,310.0064442001749,310.0200414999854,312.00190880009905,312.01004570000805,312.0186496002134,316.017901299987,316.0179419000633,316.0318360000383,352.0029151001945,352.00295990007,352.0215720999986,360.0123759000562,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
When,8,h,7,7,0,0,7,7,7,360.031384000089,,,,,,360.01257220003754,360.031384000089,362.01069720019586,362.01494340016507,362.0275686001405,366.0077290001791,366.0077665001154,366.02703260001726,402.0137752001174,402.01380970003083,402.02787790005095,410.00751800020225,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
On,9,i,8,8,0,0,8,8,8,410.02122660004534,,,,,,410.007662500022,410.02122660004534,412.00592710007913,412.0132196000777,412.01959380018525,416.01889780000784,416.0189347001724,416.03307760017924,452.00720049999654,452.00724010006525,452.02042200020514,460.0137616000138,,306651,001,2025-03-18_18h28.04.660,data_collection,2024.2.4,None,2025-03-18 18h28.12.536284 +0100,
