word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,fixationCross_2.stopped,wordDisplayText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.003382700029760599,0.009944400051608682,10.00061250012368,,,,,,,,,,,,,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
I,1,a,0,0,0,0,0,0,0,10.017327799927443,,,,,10.006955499993637,10.017327799927443,12.00078499992378,12.008147499989718,12.07285870006308,16.012546699959785,16.01258200011216,16.029806399950758,52.001284800004214,52.001331200124696,52.040201500058174,60.00892659998499,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
More,2,b,1,1,0,0,1,1,1,60.028147800127044,,,,,60.009090800071135,60.028147800127044,62.007949399994686,62.01230160007253,62.02435400011018,66.0044515999034,66.0044964000117,66.02315720007755,102.01085600000806,102.01090479991399,102.02489360002801,110.00408779992722,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
What,3,c,2,2,0,0,2,2,2,110.01880379999056,,,,,110.00426590000279,110.01880379999056,112.00204539997503,112.0077031000983,112.01686089998111,116.01263529993594,116.01266949996352,116.02938130008988,152.00088239996694,152.00092180003412,152.01904239994474,160.01053140009753,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Who,4,d,3,3,0,0,3,3,3,160.0294594001025,,,,,160.01067909994163,160.0294594001025,162.0102172999177,162.01594910002314,162.0286206000019,166.00514089991339,166.00517649995163,166.02460110001266,202.01348270010203,202.01355869998224,202.02902320004068,210.00291680009104,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02214840007946,,,,,210.00309160002507,210.02214840007946,212.00377979991026,212.00831019994803,212.01814120006748,216.0148227000609,216.0148579000961,216.03115960001014,252.00181800010614,252.00185939995572,252.01791739999317,260.0111825999338,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
You,6,f,5,5,0,0,5,5,5,260.028150399914,,,,,260.0113375999499,260.028150399914,262.010324300034,262.01793890004046,262.02687969990075,266.0090057000052,266.009047199972,266.0234525001142,302.01088170008734,302.010916700121,302.02712369989604,310.0060936000664,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Want,7,g,6,6,0,0,6,6,6,310.020788700087,,,,,310.0062532001175,310.020788700087,312.0023411998991,312.01125860004686,312.02202889998443,316.0160721000284,316.01613899995573,316.03200850007124,352.0055645001121,352.00561439991,352.01973549998365,360.01302339998074,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
When,8,h,7,7,0,0,7,7,7,360.0298013999127,,,,,360.01321640005335,360.0298013999127,362.0112672999967,362.0154661000706,362.0277758000884,366.0080635000486,366.00810629990883,366.0247591000516,402.01424219994806,402.0142807001248,402.0282566999085,410.0074154001195,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
On,9,i,8,8,0,0,8,8,8,410.02177300001495,,,,,410.0075729000382,410.02177300001495,412.0053012999706,412.0091786000412,412.0221059001051,416.000704200007,416.000776699977,416.01888120011427,452.00399100012146,452.00402670004405,452.02064669993706,460.01415070006624,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.0308040000964,,,,,460.014299799921,460.0308040000964,462.0143434999045,462.02028840011917,462.02921029995196,466.009549499955,466.00958770001307,466.02588539989665,502.0150353999343,502.01507480000146,502.0297495999839,510.00841600005515,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.02289639995433,,,,,510.0086294999346,510.02289639995433,512.0041461000219,512.0109929000027,512.022015399998,516.0016709000338,516.0017083000857,516.020048599923,552.0075443000533,552.0075864000246,552.0220234999433,560.000943900086,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0154951000586,,,,,560.0011638000142,560.0154951000586,561.9993201000616,562.0045032000635,562.0136663001031,566.0107026000042,566.0107380999252,566.0278398001101,602.0161977000535,602.0162315999623,602.0312512000091,610.0095560001209,562.0136663001031,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0241586000193,,,,,610.0097211000975,610.0241586000193,612.0063485000283,612.0147547000088,612.022519600112,616.0027807999868,616.0028274001088,616.018750499934,652.0094765000977,652.0095134999137,652.0248831999488,660.0021361999679,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
In,14,n,13,13,0,0,13,13,13,660.0166156000923,,,,,660.0023159000557,660.0166156000923,662.0164163999725,662.0218839999288,662.0334908000659,666.0142145999707,666.0142578000668,666.0284917999525,702.0152807999402,702.0153214999009,702.0336505000014,710.0103847999126,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Give,15,o,14,14,0,0,14,14,14,710.0252068999689,,,,,710.0105451000854,710.0252068999689,712.0071918000467,712.0126885999925,712.0229774001054,716.0037807000335,716.0038175999653,716.0196984000504,752.0072749999817,752.0073140000459,752.025945500005,760.0035139999818,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
No,16,p,15,15,0,0,15,15,15,760.0193857999984,,,,,760.0036700000055,760.0193857999984,762.0013123999815,762.0053069000132,762.0160314999521,766.0128613999113,766.0128999000881,766.0286187999882,802.0183876999654,802.0184255000204,802.033043900039,810.0115175999235,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Put,17,q,16,16,0,0,16,16,16,810.0262655999977,,,,,810.0116866999306,810.0262655999977,812.007743800059,812.0155035001226,812.0284309999552,816.0074211999308,816.0074825999327,816.0215745000169,852.0086932000704,852.0087478999048,852.0273078000173,860.0017130000051,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Why,18,r,17,17,0,0,17,17,17,860.0220240999479,,,,,860.0018657001201,860.0220240999479,862.0008851999883,862.0044720999431,862.0169033999555,865.9999925000593,866.0000279999804,866.0136849998962,902.0004825000651,902.0005200000014,902.0196398999542,910.0131337000057,,866.0136849998962,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Get,19,s,18,18,0,0,18,18,18,910.0279109999537,,,,,910.0133022000082,910.0279109999537,912.0094393999316,912.1323410000186,912.1364400999155,916.0061431999784,916.0062039999757,916.022546299966,952.0100992000662,952.0101538999006,952.0268262000754,960.0035194000229,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
Come,20,t,19,19,0,0,19,19,19,960.0191103001125,,,,,960.0036716000177,960.0191103001125,962.0016836998984,962.0069162000436,962.0208320000675,966.0149717999157,966.0150099999737,966.0311048999429,1002.0049475999549,1002.0050148000009,1002.0190624999814,1010.0121232999954,,,373637,001,2025-03-17_16h55.45.703,data_collection,2024.2.4,59.86450264259398,2025-03-17 16h55.52.719146 +0100,
