word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,fixationCross_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.004271400161087513,0.025980700040236115,10.014926000032574,,,,,,,,,,,,,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
I,1,a,0,0,0,0,0,0,0,10.03385870018974,,,,,10.023239400004968,10.03385870018974,12.015430400148034,12.021547100041062,12.030508800176904,16.009829100221395,16.00987370009534,16.02858340018429,52.013102300232276,52.01314490009099,52.05821750010364,60.00709370011464,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
More,2,b,1,1,0,0,1,1,1,60.023009800119326,,,,,60.00744290021248,60.023009800119326,62.00511100003496,62.010781900025904,62.02177070011385,66.00434170011431,66.00437690014951,66.01817710022442,102.00888450001366,102.0089253000915,102.02200840017758,110.01618380006403,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
What,3,c,2,2,0,0,2,2,2,110.0348681001924,,,,,110.01637220010161,110.0348681001924,112.01646270020865,112.02272350015119,112.03454240015708,116.01367700006813,116.0137154001277,116.02720450004563,152.0147816000972,152.01481760013849,152.03121120017022,160.00771580007859,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02447160007432,,,,,160.00786910019815,160.02447160007432,162.00598470005207,162.0123933001887,162.02261870005168,166.00299470010214,166.0030365001876,166.01934750005603,202.0066076000221,202.00665490003303,202.02730300021358,210.0034279001411,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Help,5,e,4,4,0,0,4,4,4,210.01647920021787,,,,,210.00377920013852,210.01647920021787,211.99947080016136,212.00425800005905,212.01507390011102,216.01203540014103,216.012068600161,216.03129550023004,252.00173100014217,252.00176330003887,252.01599640003406,260.0121526001021,212.01507390011102,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
You,6,f,5,5,0,0,5,5,5,260.02552560018376,,,,,260.0122880002018,260.02552560018376,262.01106950012036,262.01688410015777,262.0240843000356,266.00428079999983,266.0043234000914,266.02066830010153,302.0084705001209,302.0085303001106,302.02715200022794,310.0012735000346,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0178850002121,,,,,310.0014642002061,310.0178850002121,312.0049548000097,312.01503810007125,312.01981010008603,316.0132393001113,316.01330210012384,316.0299595000688,352.0005511001218,352.00059240008704,352.01724120019935,360.0100836001802,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
When,8,h,7,7,0,0,7,7,7,360.02999170008115,,,,,360.01023000013083,360.02999170008115,362.0084467001725,362.01458330010064,362.0275764001999,366.00519950012676,366.0052382000722,366.0250606001355,402.0093320000451,402.0093897001352,402.02559930016287,410.0022471002303,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
On,9,i,8,8,0,0,8,8,8,410.0188557000365,,,,,410.0024127000943,410.0188557000365,412.00391290010884,412.010439600097,412.01740980008617,416.0142814000137,416.014317400055,416.03537300019525,452.0012954000849,452.0013566000853,452.0202981000766,460.0112772001885,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Stop,10,j,9,9,0,0,9,9,9,460.03129420010373,,,,,460.0114210001193,460.03129420010373,462.0095258001238,462.01659610006027,462.02673380007036,466.0067779000383,466.00681640021503,466.02598970010877,502.0104397002142,502.01047910004854,502.0295675001107,510.0070165002253,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Yes,11,k,10,10,0,0,10,10,10,510.0199993001297,,,,,510.00720850005746,510.0199993001297,512.0025579000358,512.0101344001014,512.0216354001313,516.0007621000987,516.0008076000959,516.0179397000466,552.002679400146,552.0027132001705,552.0191532000899,560.0126351001672,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Do,12,l,11,11,0,0,11,11,11,560.0323365000077,,,,,560.0127782002091,560.0323365000077,562.0109911002219,562.1446622000076,562.149651600048,566.0076616001315,566.0077067001257,566.0241900000256,602.0116746001877,602.0117144000251,602.0317854001187,610.004854900064,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Where,13,m,12,12,0,0,12,12,12,610.0247062002309,,,,,610.0050197001547,610.0247062002309,612.0044713001698,612.0093344000634,612.022755500162,616.0028303000145,616.0028711000923,616.0167530002072,652.0063916000072,652.0064302000683,652.0200469000265,660.0137887001038,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
In,14,n,13,13,0,0,13,13,13,660.0303692000452,,,,,660.0139354001731,660.0303692000452,662.0120755000971,662.0167656000704,662.0285613001324,666.0098979000468,666.0099383001216,666.0253582000732,702.0129970000125,702.0130351001862,702.0328673000913,710.0065804000478,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Give,15,o,14,14,0,0,14,14,14,710.025046300143,,,,,710.0068701000419,710.025046300143,712.0069404002279,712.0126639001537,712.0246983000543,716.0016059000045,716.0016553001478,716.0209396001883,752.0050283002201,752.0050656001549,752.0213886001147,760.0014658002183,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
No,16,p,15,15,0,0,15,15,15,760.0149318000767,,,,,760.0017018001527,760.0149318000767,762.0134141000453,762.0203783002216,762.0306542001199,766.0102177001536,766.0102807001676,766.0270641001407,802.0138274000492,802.0138843001332,802.0340591000859,810.0102363000624,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Put,17,q,16,16,0,0,16,16,16,810.0237410000991,,,,,810.0104104001075,810.0237410000991,812.0058711001184,812.0104130001273,812.0263980000746,816.0027399000246,816.0027727000415,816.0222735002171,852.0093386000954,852.0093854002189,852.0226580000017,860.0029387001414,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Why,18,r,17,17,0,0,17,17,17,860.0161821001675,,,,,860.0031085000373,860.0161821001675,862.0145179000683,862.0197365002241,862.0351096000522,866.0145135000348,866.0145556000061,866.0276801001746,902.0148785000201,902.014934200095,902.0314618002158,910.0083611002192,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Get,19,s,18,18,0,0,18,18,18,910.0249390001409,,,,,910.0085407001898,910.0249390001409,912.0066323000938,912.0118672000244,912.0236618001945,916.0033146000933,916.0033568001818,916.0201525001321,952.0091272999998,952.0091677000746,952.0236870001536,960.0027774001937,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
Come,20,t,19,19,0,0,19,19,19,960.0172004001215,,,,,960.0029219000135,960.0172004001215,962.0178686000872,962.0225039001089,962.0322773000225,966.0124878000934,966.0125259000342,966.0311722001061,1002.0022757002153,1002.0023203000892,1002.0163579001091,1010.0096167000011,,452985,001,2025-03-12_15h55.07.612,data_collection,2024.2.4,None,2025-03-12 15h55.14.929139 +0100,
