word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,rest.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0020246999338269234,0.0051726000383496284,10.003240799997002,,,,,,,,,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
I,1,a,0,0,0,0,0,0,0,10.021380399819463,,,,,10.013662999961525,10.021380399819463,14.016525099985301,14.016573600005358,14.033131099771708,20.011653400026262,20.01174269989133,20.012256199959666,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
More,2,b,1,1,0,0,1,1,1,20.02836890006438,,,,,20.01803799998015,21.010994299780577,25.007679699920118,25.007735299877822,25.024195699952543,31.002607400063425,31.00266439979896,31.003229700028896,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
What,3,c,2,2,0,0,2,2,2,31.01908149989322,,,,,31.00872729998082,32.00171669991687,35.99924509972334,35.999272499699146,36.01515319989994,42.01047799969092,42.01052169967443,42.010977499652654,36.01515319989994,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Who,4,d,3,3,0,0,3,3,3,42.02676220005378,,,,,42.01598899997771,43.00926780002192,47.00640650000423,47.00647690007463,47.022697099950165,53.00162749970332,53.0016971998848,53.0022510997951,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Help,5,e,4,4,0,0,4,4,4,53.0176380998455,,,,,53.00953139970079,54.00034589972347,57.98676500003785,57.98706449987367,57.99920560000464,63.992817000020295,63.99285069992766,63.99321709992364,57.99920560000464,64.00878329994157,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
You,6,f,5,5,0,0,5,5,5,64.00878329994157,,,,,63.99677369976416,65.01056169997901,69.0077917999588,69.00808889977634,69.0231150998734,75.00348760001361,75.00381510006264,75.00739570008591,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Want,7,g,6,6,0,0,6,6,6,75.04295039968565,,,,,75.03340710001066,76.0157474996522,80.0125584998168,80.01264009997249,80.02871629968286,86.00745479995385,86.00754329981282,86.00805629976094,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
When,8,h,7,7,0,0,7,7,7,86.0239824000746,,,,,86.0160520998761,87.00656979996711,91.00332259992138,91.00338809983805,91.02013029996306,97.01539759989828,97.0155242998153,97.01612289994955,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
On,9,i,8,8,0,0,8,8,8,97.03161509986967,,,,,97.02109039993957,98.01416509971023,102.01119189988822,102.01126289973035,102.02753080008551,108.00606889976189,108.00612909998745,108.00673779984936,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Stop,10,j,9,9,0,0,9,9,9,108.02258759969845,,,,,108.00973769975826,109.00506639992818,113.00204759975895,113.00210279971361,113.0185521999374,119.01369639998302,119.01374959992245,119.01437669992447,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Yes,11,k,10,10,0,0,10,10,10,119.0302371000871,,,,,119.01940619992092,120.01289330003783,124.00986590003595,124.00993619998917,124.02609239984304,130.00484499987215,130.00491479970515,130.00559620000422,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Do,12,l,11,11,0,0,11,11,11,130.02124129980803,,,,,130.00910149980336,131.00384119991213,135.00055649969727,135.00061039999127,135.01722319982946,141.01244389964268,141.0125168999657,141.0131403999403,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Where,13,m,12,12,0,0,12,12,12,141.02901889989153,,,,,141.01697269966826,142.01154819969088,146.00832800008357,146.0083983996883,146.02474580006674,152.00335979973897,152.00341699970886,152.0041016000323,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
In,14,n,13,13,0,0,13,13,13,152.01995039964095,,,,,152.00977869983763,153.00234499992803,157.0002594999969,157.0002973997034,157.0158044998534,163.01106889965013,163.01113539980724,163.0117836999707,157.0158044998534,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Give,15,o,14,14,0,0,14,14,14,163.0275443997234,,,,,163.0188302998431,164.01012159977108,168.00697720004246,168.00701669976115,168.02325619990006,174.0019366997294,174.0020057996735,174.00282589998096,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
No,16,p,15,15,0,0,15,15,15,174.0185018000193,,,,,174.0077851996757,175.00113049987704,178.9986721999012,178.9986997996457,179.01436199992895,185.009530399926,185.0096017997712,185.01026639994234,179.01436199992895,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
Put,17,q,16,16,0,0,16,16,16,185.0260013998486,,,,,185.0163849000819,186.00863619986922,190.00565399974585,190.005712099839,190.02186789968982,196.0004813997075,196.00053869979456,196.00140319997445,,,580443,001,2025-02-20_14h43.29.007,data_collection,2024.2.4,60.03081987590044,2025-02-20 14h43.34.840620 +0100,
