word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,wordDisplayText.stopped,fixationCross.stopped,fixationCross_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.004235800122842193,0.01602789992466569,10.007461900124326,,,,,,,,,,,,,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
I,1,a,0,0,0,0,0,0,0,10.020455500110984,,,,,10.014554199995473,10.020455500110984,12.002167199971154,12.008859599940479,12.019268400035799,16.002202700125054,16.00223969994113,16.01555799995549,52.00305530009791,52.00310089997947,52.05233599990606,60.015010399976745,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
More,2,b,1,1,0,0,1,1,1,60.03253500000574,,,,,60.01516630011611,60.03253500000574,62.011145800119266,62.01712010009214,62.029839100083336,66.00785450008698,66.00791050004773,66.02418439998291,102.01557469996624,102.01561599993147,102.02814200008288,110.00491310004145,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
What,3,c,2,2,0,0,2,2,2,110.02382329991087,,,,,110.00510740000755,110.02382329991087,112.00531250005588,112.01285940012895,112.0233470001258,116.00366339995526,116.0037016000133,116.01682929997332,152.0044460000936,152.00450709997676,152.02040229993872,160.01453600008972,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
Who,4,d,3,3,0,0,3,3,3,160.03519450011663,,,,,160.0147259000223,160.03519450011663,162.01278280001134,162.01793679990806,162.02940210001543,166.00905989995226,166.00909880013205,166.0297171000857,202.01300520007499,202.01304590003565,202.03290949994698,210.00649320008233,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02578209992498,,,,,210.0067054000683,210.02578209992498,212.008320099907,212.0130855999887,212.02108599990606,216.00245309993625,216.00249519990757,216.02117220009677,252.0048303999938,252.00486649991944,252.0216262000613,260.01525850011967,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
You,6,f,5,5,0,0,5,5,5,260.0348920999095,,,,,260.01542360009626,260.0348920999095,262.0166422999464,262.0233209000435,262.0300412001088,266.01054499996826,266.0105956001207,266.0300344999414,302.0173740000464,302.0174291001167,302.0303364000283,310.00750480010174,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0237644999288,,,,,310.00781049998477,310.0237644999288,312.00897850003093,312.0163503999356,312.0224882001057,316.0057993000373,316.0058504000772,316.01972179999575,352.0062178999651,352.00627760007046,352.02285740012303,360.0028327999171,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
When,8,h,7,7,0,0,7,7,7,360.0162587999366,,,,,360.00299949990585,360.0162587999366,362.00139699992724,362.0071284000296,362.0143929000478,366.0144088999368,366.0144481000025,366.02788619999774,402.00144960009493,402.0014937000815,402.01480489992537,410.00849379994906,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
On,9,i,8,8,0,0,8,8,8,410.0248994000722,,,,,410.0086964000948,410.0248994000722,412.00866489997134,412.01619180012494,412.0285581999924,416.0038769999519,416.003914100118,416.0235764000099,452.00802200008184,452.0080673999619,452.02841220004484,460.00692129996605,,,,602464,001,2025-03-11_15h26.58.824,data_collection,2024.2.4,None,2025-03-11 15h27.06.826016 +0100,
