word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,fixationCross_2.stopped,wordDisplayText.stopped,fixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0033441002015024424,0.013412100030109286,10.001640000147745,,,,,,,,,,,,,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
I,1,a,0,0,0,0,0,0,0,10.021201700204983,,,,,10.007964600110427,10.021201700204983,12.017363500082865,12.02582440013066,12.03759240009822,16.016197400167584,16.016243800055236,16.032247600145638,52.00290780002251,52.00295510003343,52.04626510012895,60.012702899985015,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
More,2,b,1,1,0,0,1,1,1,60.02965050004423,,,,,60.012873200001195,60.02965050004423,62.009057900169864,62.01896540005691,62.029470700072125,66.00567440013401,66.00571520021185,66.02489670016803,102.00922840018757,102.00926470011473,102.02617399999872,110.0053575001657,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
What,3,c,2,2,0,0,2,2,2,110.01920720003545,,,,,110.0055117001757,110.01920720003545,112.00164990010671,112.00796540011652,112.01794430008158,116.00157760013826,116.00161760021001,116.0146496000234,152.00149930012412,152.0015402000863,152.01812680019066,160.01157740014605,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Who,4,d,3,3,0,0,3,3,3,160.02820160007104,,,,,160.01179350004531,160.02820160007104,162.0100738001056,162.01892539998516,162.0297875001561,166.00659070000984,166.00663240021095,166.02555620018393,202.01361430017278,202.01365310000256,202.02723120013252,210.00415400019847,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Help,5,e,4,4,0,0,4,4,4,210.02306500007398,,,,,210.00442670006305,210.02306500007398,212.00622310000472,212.01552640018053,212.02069860021584,216.00171740003861,216.0017574999947,216.01559330010787,252.00298190000467,252.00303450017236,252.0196671001613,260.01276030018926,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
You,6,f,5,5,0,0,5,5,5,260.0293748001568,,,,,260.01294690021314,260.0293748001568,262.01116910018027,262.0212567001581,262.03169750003144,266.01114380010404,266.0112256000284,266.02438800013624,302.0115586000029,302.01160610001534,302.0305786000099,310.0049844000023,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
Want,7,g,6,6,0,0,6,6,6,310.0252771000378,,,,,310.0051399001386,310.0252771000378,312.00370100000873,312.0109199001454,312.0245160001796,316.0200386000797,316.0201072001364,316.033299600007,352.00373130012304,352.0037789000198,352.02030700002797,360.00093830004334,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
When,8,h,7,7,0,0,7,7,7,360.0138178002089,,,,,360.0010826000944,360.0138178002089,361.9994555001613,362.0036436000373,362.01229199999943,365.9958503001835,365.9958899000194,366.0090053000022,401.99659530003555,401.99664320005104,402.0126236001961,410.00614960002713,362.01229199999943,366.0090053000022,402.0126236001961,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
On,9,i,8,8,0,0,8,8,8,410.0226821000688,,,,,410.006320200162,410.0226821000688,412.0046560000628,412.01194920018315,412.02536000008695,416.0014856001362,416.00151910004206,416.02044500014745,452.0078811000567,452.0079275001772,452.02164140017703,460.0175146001857,,,,634916,001,2025-03-17_15h49.00.849,data_collection,2024.2.4,None,2025-03-17 15h49.13.120981 +0100,
