word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0028472000267356634,0.013912499998696148,10.005459300009534,,,,,,,,,,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
I,1,a,0,0,0,0,0,0,0,10.03349669999443,,,,,10.017171900020912,10.03349669999443,14.003063199983444,14.003094799991231,14.019928399997298,50.00549419998424,50.00553239998408,50.042886000010185,58.015339000034146,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
More,2,b,1,1,0,0,1,1,1,58.03416879998986,,,,,58.024888599989936,58.03416879998986,62.01393090002239,62.013961800024845,62.02994460001355,98.00089989998378,98.00094040000113,98.01592040003743,106.0120850999956,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
What,3,c,2,2,0,0,2,2,2,106.02742410002975,,,,,106.01909549999982,106.02742410002975,110.00752009998541,110.00755440001376,110.02251660003094,146.0107704999973,146.01080450002337,146.0259922000114,154.00436100002844,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Who,4,d,3,3,0,0,3,3,3,154.01957360003144,,,,,154.01019310002448,154.01957360003144,158.00127459998475,158.00130950001767,158.01631909998832,194.00351950002369,194.0035896000336,194.02262230002088,202.0130230000359,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Help,5,e,4,4,0,0,4,4,4,202.03108450002037,,,,,202.0210999000119,202.03108450002037,206.0102857000311,206.01032230001874,206.02818389999447,242.01540550001664,242.01544280000962,242.0305671999813,250.0067723999964,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
You,6,f,5,5,0,0,5,5,5,250.02625029999763,,,,,250.0119629999972,250.02625029999763,254.0057941999985,254.0058324999991,254.02059040003223,290.00777150003705,290.0078138000099,290.02440550003666,298.00115279998863,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Want,7,g,6,6,0,0,6,6,6,298.01715189998504,,,,,298.00706909998553,298.01715189998504,302.01496930001304,302.0150636000326,302.03350359998876,338.002076600038,338.002128800028,338.0196619000053,346.0141308000311,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
When,8,h,7,7,0,0,7,7,7,346.03068429999985,,,,,346.0231790000107,346.03068429999985,350.00782759999856,350.0078649999923,350.0264964000089,386.0122972999816,386.01233470003353,386.02977640001336,394.00574590003816,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
On,9,i,8,8,0,0,8,8,8,394.0237128000008,,,,,394.01264870003797,394.0237128000008,398.00256440002704,398.0026077000075,398.01833739998983,434.00611200003186,434.00616659998195,434.0241301000351,442.01777410000795,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Stop,10,j,9,9,0,0,9,9,9,442.03426690003835,,,,,442.0240761000314,442.03426690003835,446.01465880003525,446.0146972000366,446.02963260002434,482.00225680001313,482.00229319999926,482.01801649999106,490.0094257000019,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Yes,11,k,10,10,0,0,10,10,10,490.02907089999644,,,,,490.0130574000068,490.02907089999644,494.00685120001435,494.00689080002485,494.02309969998896,530.0109686999931,530.0110609999974,530.0287298000185,538.0041292000096,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Do,12,l,11,11,0,0,11,11,11,538.0219368999824,,,,,538.0084154999931,538.0219368999824,542.0009717000066,542.0010193000198,542.0193456999841,578.0069096999941,578.006941700005,578.0213858000352,586.0011686999933,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Where,13,m,12,12,0,0,12,12,12,586.0174701000215,,,,,586.0079694000306,586.0174701000215,590.0112959999824,590.0113293000031,590.0299922000268,626.0153716999921,626.0154047000105,626.0334501999896,634.0086110000266,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
In,14,n,13,13,0,0,13,13,13,634.0280766999931,,,,,634.0145625000005,634.0280766999931,638.0054690000252,638.0055015999824,638.0221256000223,674.0113281999948,674.0113725999836,674.0258960000356,682.0016474000295,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Give,15,o,14,14,0,0,14,14,14,682.0214250999852,,,,,682.0075458000065,682.0214250999852,686.0152968000039,686.015338200028,686.0337644999963,722.0045164999901,722.0045583000174,722.0195432000328,730.0132635000045,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
No,16,p,15,15,0,0,15,15,15,730.0301000000327,,,,,730.0217727000127,730.0301000000327,734.0100298000034,734.0100743999938,734.0263908000197,770.013748300029,770.0137916000094,770.0303176000016,778.0068647000007,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Put,17,q,16,16,0,0,16,16,16,778.0230274000205,,,,,778.0149603000027,778.0230274000205,782.0032977000228,782.0033396999934,782.0219724000199,818.0088845000137,818.0089613000164,818.0238256999874,826.0020904000266,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
Why,18,r,17,17,0,0,17,17,17,826.0177295000176,,,,,826.0071642000112,826.0177295000176,830.014154799981,830.0141906000208,830.0322416999843,866.0016772000236,866.0017194999964,866.0192547999904,874.0113575999858,662984,001,2025-03-04_16h42.36.516,data_collection,2024.2.4,60.689149588554,2025-03-04 16h42.46.946370 +0100,
