word,marker,keybind,thisN,thisTrialN,thisRepN,wordPromptLoop.thisRepN,wordPromptLoop.thisTrialN,wordPromptLoop.thisN,wordPromptLoop.thisIndex,thisRow.t,notes,adjustment.started,text.started,adjustment.stopped,shortFixation.started,fixationCross_2.started,shortFixation.stopped,wordDisplay.started,wordDisplayText.started,wordDisplay.stopped,fixation.started,fixationCross.started,fixation.stopped,rest.started,placeholder_image.started,rest.stopped,wordDisplayText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0038982999976724386,0.01816580002196133,10.004299400141463,,,,,,,,,,,,,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
I,1,a,0,0,0,0,0,0,0,10.020825800020248,,,,,10.010983299929649,10.020825800020248,12.003057199995965,12.010175599949434,12.020247100153938,16.003232900053263,16.003357500070706,16.015662299934775,52.006491099949926,52.00655009993352,52.064436099957675,60.01295320014469,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
More,2,b,1,1,0,0,1,1,1,60.029687799979,,,,,60.01313260011375,60.029687799979,62.01124850008637,62.01808640011586,62.02755210013129,66.00818070000969,66.00821970007382,66.02759440010414,102.01433819998056,102.01437520002946,102.0283739999868,110.00705859996378,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
What,3,c,2,2,0,0,2,2,2,110.02429880015552,,,,,110.00720240012743,110.02429880015552,112.00378719996661,112.00810010009445,112.02049380005337,116.00260480004363,116.00267600012012,116.01709440001287,152.0048859999515,152.00494910008274,152.02066999999806,160.00134110008366,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Who,4,d,3,3,0,0,3,3,3,160.01409550011158,,,,,160.0016586999409,160.01409550011158,162.01545520010404,162.01926860003732,162.02928340015933,166.0092849000357,166.00932259997353,166.02862580004148,202.01415670011193,202.01419230015017,202.03224180010147,210.0076212999411,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Help,5,e,4,4,0,0,4,4,4,210.0256732001435,,,,,210.0077701001428,210.0256732001435,212.0080361000728,212.01415010006167,212.02146930014715,216.0015128001105,216.00155850010924,216.0213025000412,252.00534770009108,252.00538119999692,252.0221007000655,260.00211929995567,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
You,6,f,5,5,0,0,5,5,5,260.0150264000986,,,,,260.0023078999948,260.0150264000986,262.0141551999841,262.02137170010246,262.0299579000566,266.01055050012656,266.0106001000386,266.02651800005697,302.0144881999586,302.0145360000897,302.03027760004625,310.0078521000687,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
Want,7,g,6,6,0,0,6,6,6,310.02372900000773,,,,,310.00807320000604,310.02372900000773,312.00836320011877,312.01356330001727,312.022746700095,316.0025035000872,316.0025430000387,316.01924109994434,352.0100140001159,352.0100841000676,352.0235338001512,360.0164940999821,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
When,8,h,7,7,0,0,7,7,7,360.0331035000272,,,,,360.0166627999861,360.0331035000272,362.0157685999293,362.02925260015763,362.03710200008936,366.01174530014396,366.0117886001244,366.02831150009297,402.01970109995455,402.0197721000295,402.03288349998184,410.00836350000463,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
On,9,i,8,8,0,0,8,8,8,410.0277754000854,,,,,410.0085618000012,410.0277754000854,412.00707369996235,412.01351810013875,412.0228872001171,416.0061503001489,416.00618389993906,416.02249930007383,452.00786489993334,452.0078980999533,452.0244489000179,460.0034734001383,,871898,001,2025-03-11_14h46.45.153,data_collection,2024.2.4,None,2025-03-11 14h46.53.065114 +0100,
